,,,,,,,,,model
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,133,0,10,100,192,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,0,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,1,0,WD5000LPVX
200,13,0,13,100,185,0,7,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
200,932,0,9,100,62,0,0,0,WD5000LPVX
